id,created_at,source,clean_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,hashtags,user_mentions,place,place_coord_boundaries
0,Thu Jun 17 06:26:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Giving forth life becoming burden Kenya This mother gave birth babies hard time meeting nutritional needs coz baby formula expensive.Turn bundles tears joy giving hand.Mpesa Douglas Nyaoko,0.319444444,0.530555556,en,0,0,reen_law,398,70,223,,janetmachuka_,,
1,Thu Jun 17 06:26:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Teenmaar crPanja crGabbarsingh cr Khaleja Kuda varaku undhi Dookudu crBusinessman cr Urike Ginjukuntaru endhuku ra mari appudu em ayyindhi Kottadaniki,0,0,in,0,0,Amigo9999_,19047,132,1084,,maheshblood,,India
2,Thu Jun 17 06:26:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rei chintu lo Vachina Ad Nizam ne lo kottaru films pattinndhi Inka Agv Day1 kottaledhu entra meru matho disco esedhi,0,0,hi,0,0,MallaSuhaas,47341,2696,2525,,Hail_Kalyan,,Vizag
3,Thu Jun 17 06:26:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Today World Day Combat Restoring degraded land brings jobs food security Helps recover slows locking away carbon All critical lifting many poverty,0.25,0.65,en,0,0,CIACOceania,7039,343,387,"Desertification, Drought, resilience",EdwardVrkic,,Papua New Guinea
4,Thu Jun 17 06:26:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hearing say 's confident vaccines delivered like hearing say G7 's reducing carbon emissions,0.5,0.833333333,en,0,0,MccarronWendy,26064,419,878,"GregHunt, Morrison",WriteWithDave,,"Sydney, New South Wales"
5,Thu Jun 17 06:26:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,0,0,en,0,0,OmarLali_,12376,3134,3167,,"iamsoniah, F_M_Networks",,Kenya
6,Thu Jun 17 06:26:50 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">sustaintrends</a>",Today World Day Combat Restoring degraded land brings jobs food security Helps recover slows locking away carbon All critical lifting many poverty,0.25,0.65,en,0,0,SustainTrends,299346,5930,159,"Desertification, Drought, resilience",EdwardVrkic,,
7,Thu Jun 17 06:26:51 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu Brothers meraina react avvandi friends .. Panthulu dhaanalaku kuda money ledhu plz avaraina help cheyandi .. Avaraina rajahmundry vallu vunte godavari dagara vunnam Randi please chudu Bro,0,0,et,0,0,suritarak9999,60843,1942,1555,,"dhamodarpilla, NTRFansRJY",,Twitter loo🤥
8,Thu Jun 17 06:26:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Deployment low carbon technologies need taken massive scale especially MSMEs Electric Mobility aggressively pushed Shri R K Singh Union Power Minister,0,0.766666667,en,0,0,PIBChandigarh,46391,9276,208,,power_pib,,"Chandigarh, India"
9,Thu Jun 17 06:27:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Austria `` right '' grid tariffs regulatory regimes support like one Campus Vienna,0.285714286,0.535714286,en,0,0,KENJIHARASAN,71653,1051,463,microgrids,"em_baumann, Siemens",,South & East Asia Pacific 
10,Thu Jun 17 06:27:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',0,0,en,0,0,CultCharanism,98040,1389,1988,,RamCharanERA,,"Ponduru,Srikakulam"
11,Thu Jun 17 06:27:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sln teaser trailer views amp trailer likes gt AVPl Mind block flop song day views gt nakka chartbuster song views day1 East sln gt avpl amp Guntur West almost Nizam SLN AVPLAina Kuda pandabetti Dengadu konni territories lo Aina Kuda AAth gaadidhi nakuthunnav,0,0,en,0,0,MassDHF07011920,20021,156,297,,SandeepMBcult_,,
12,Thu Jun 17 06:27:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rc Box -Office Wise Ok But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu Box -Office Fanbase AnydayTarak gt gt gt gt gt RAM charanAh Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe GaNen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa,0.133333333,0.8,en,0,0,Amigo9999_,19048,132,1084,,Teja_Cult_DHFM,,India
13,Thu Jun 17 06:27:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu Brothers meraina react avvandi friends .. Panthulu dhaanalaku kuda money ledhu plz avaraina help cheyandi .. Avaraina rajahmundry vallu vunte godavari dagara vunnam Randi please chudu Bro,0,0,et,0,0,ManofMassessNTR,10719,860,947,,"dhamodarpilla, NTRFansRJY",,
14,Thu Jun 17 06:27:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rc Box -Office Wise Ok But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu Box -Office Fanbase AnydayTarak gt gt gt gt gt RAM charanAh Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe GaNen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa,0.133333333,0.8,en,0,0,doddaiah_gowda,153103,1481,482,,Teja_Cult_DHFM,,"Pavagada, India"
15,Thu Jun 17 06:27:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Acofi Gestion sassocie la pour financer les europennes,0,0,fr,0,0,tberberian,467,30,88,"fintech, TPE, PME","PlanetFintech, RollingFunds",,
16,Thu Jun 17 06:27:21 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",A On How To Become A Approach,0,0,en,0,0,chidambara09,1521346,9298,13,"Guide, DataScientist, StepByStep","FintechFor, SpirosMargaris",,Mysore  and  BERLIN
17,Thu Jun 17 06:27:22 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Njing Kontol kuda Enak beud bangsatttt .Join mabokin kurir paket J -- dgn salah followers babangDurasi full menit detikHari ini akan tersedia di NEW Gdrive info JOIN Reinvite amp k berlaku,0.243181818,0.502272727,in,0,0,brianmchitz,1488,41,1557,,aboutstr8,,
18,Thu Jun 17 06:27:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Selain penyapu pihak polis Z10n1s juga pernah menahan amp merampas belon layang layang indomie senapang plastik pembesar suara keldai kuda amp bola Semua ini dianggap dapat memberikan ancaman kepada 'keselamatan awam,0,0,in,0,0,nabil_capone,9142,297,392,,fakhrifadzli,,masaiiiiiii
19,Thu Jun 17 06:27:30 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",et la s'associent pour aider les lutter contre la au,0,0,fr,0,0,tberberian,468,30,88,"fintech, entreprises, fraude","PlanetFintech, SocieteGenerale, trustpair",,
